SN#,业务IP地址,网络掩码,业务网关,iLO接口地址,网络掩码,iLO网关地址,设备配置,"H3C SO#
（HPE PO）",HPE SO,台数
6CU7316BH9,10.21.9.11,255.255.255.128,10.21.9.126,172.25.9.11,255.255.255.128,172.25.9.126,A1,1000007853,7700555424,50
6CU7316BHM,10.21.9.12,255.255.255.128,10.21.9.126,172.25.9.12,255.255.255.128,172.25.9.126,A1,,,
6CU7316BJ1,10.21.9.13,255.255.255.128,10.21.9.126,172.25.9.13,255.255.255.128,172.25.9.126,A1,,,
6CU7316BJA,10.21.9.14,255.255.255.128,10.21.9.126,172.25.9.14,255.255.255.128,172.25.9.126,A1,,,
6CU7316BJM,10.21.9.15,255.255.255.128,10.21.9.126,172.25.9.15,255.255.255.128,172.25.9.126,A1,,,
6CU7316BK0,10.21.9.16,255.255.255.128,10.21.9.126,172.25.9.16,255.255.255.128,172.25.9.126,A1,,,
6CU7316BKD,10.21.9.17,255.255.255.128,10.21.9.126,172.25.9.17,255.255.255.128,172.25.9.126,A1,,,
6CU7316BL0,10.21.9.18,255.255.255.128,10.21.9.126,172.25.9.18,255.255.255.128,172.25.9.126,A1,,,
6CU7316BLE,10.21.9.19,255.255.255.128,10.21.9.126,172.25.9.19,255.255.255.128,172.25.9.126,A1,,,
6CU7316BM0,10.21.9.20,255.255.255.128,10.21.9.126,172.25.9.20,255.255.255.128,172.25.9.126,A1,,,
6CU7316BMD,10.21.9.21,255.255.255.128,10.21.9.126,172.25.9.21,255.255.255.128,172.25.9.126,A1,,,
6CU7316BMV,10.21.9.22,255.255.255.128,10.21.9.126,172.25.9.22,255.255.255.128,172.25.9.126,A1,,,
6CU7316BN7,10.21.9.23,255.255.255.128,10.21.9.126,172.25.9.23,255.255.255.128,172.25.9.126,A1,,,
6CU7316BNJ,10.21.9.24,255.255.255.128,10.21.9.126,172.25.9.24,255.255.255.128,172.25.9.126,A1,,,
6CU7316BP2,10.21.9.25,255.255.255.128,10.21.9.126,172.25.9.25,255.255.255.128,172.25.9.126,A1,,,
6CU7316BPC,10.21.9.26,255.255.255.128,10.21.9.126,172.25.9.26,255.255.255.128,172.25.9.126,A1,,,
6CU7316BPW,10.21.9.27,255.255.255.128,10.21.9.126,172.25.9.27,255.255.255.128,172.25.9.126,A1,,,
6CU7316BRC,10.21.9.28,255.255.255.128,10.21.9.126,172.25.9.28,255.255.255.128,172.25.9.126,A1,,,
6CU7316BRW,10.21.9.29,255.255.255.128,10.21.9.126,172.25.9.29,255.255.255.128,172.25.9.126,A1,,,
6CU7316BSC,10.21.9.30,255.255.255.128,10.21.9.126,172.25.9.30,255.255.255.128,172.25.9.126,A1,,,
6CU7316BSW,10.21.9.31,255.255.255.128,10.21.9.126,172.25.9.31,255.255.255.128,172.25.9.126,A1,,,
6CU7316BTC,10.21.9.32,255.255.255.128,10.21.9.126,172.25.9.32,255.255.255.128,172.25.9.126,A1,,,
6CU7316BTV,10.21.9.33,255.255.255.128,10.21.9.126,172.25.9.33,255.255.255.128,172.25.9.126,A1,,,
6CU7316BVC,10.21.9.34,255.255.255.128,10.21.9.126,172.25.9.34,255.255.255.128,172.25.9.126,A1,,,
6CU7316BVT,10.21.9.35,255.255.255.128,10.21.9.126,172.25.9.35,255.255.255.128,172.25.9.126,A1,,,
6CU7316BWA,10.21.9.36,255.255.255.128,10.21.9.126,172.25.9.36,255.255.255.128,172.25.9.126,A1,,,
6CU7316BWX,10.21.9.37,255.255.255.128,10.21.9.126,172.25.9.37,255.255.255.128,172.25.9.126,A1,,,
6CU7316BXD,10.21.9.38,255.255.255.128,10.21.9.126,172.25.9.38,255.255.255.128,172.25.9.126,A1,,,
6CU7316BXY,10.21.9.39,255.255.255.128,10.21.9.126,172.25.9.39,255.255.255.128,172.25.9.126,A1,,,
6CU7316BYF,10.21.9.40,255.255.255.128,10.21.9.126,172.25.9.40,255.255.255.128,172.25.9.126,A1,,,
6CU7316C00,10.21.9.41,255.255.255.128,10.21.9.126,172.25.9.41,255.255.255.128,172.25.9.126,A1,,,
6CU7316C0E,10.21.9.42,255.255.255.128,10.21.9.126,172.25.9.42,255.255.255.128,172.25.9.126,A1,,,
6CU7316C10,10.21.9.43,255.255.255.128,10.21.9.126,172.25.9.43,255.255.255.128,172.25.9.126,A1,,,
6CU7316C1E,10.21.9.44,255.255.255.128,10.21.9.126,172.25.9.44,255.255.255.128,172.25.9.126,A1,,,
6CU7316C20,10.21.9.45,255.255.255.128,10.21.9.126,172.25.9.45,255.255.255.128,172.25.9.126,A1,,,
6CU7316C2H,10.21.9.46,255.255.255.128,10.21.9.126,172.25.9.46,255.255.255.128,172.25.9.126,A1,,,
6CU7316C2T,10.21.9.47,255.255.255.128,10.21.9.126,172.25.9.47,255.255.255.128,172.25.9.126,A1,,,
6CU7316C36,10.21.9.48,255.255.255.128,10.21.9.126,172.25.9.48,255.255.255.128,172.25.9.126,A1,,,
6CU7316C3J,10.21.10.1,255.255.255.128,10.21.10.126,172.25.10.1,255.255.255.128,172.25.10.126,A1,,,
6CU7316C3W,10.21.10.2,255.255.255.128,10.21.10.126,172.25.10.2,255.255.255.128,172.25.10.126,A1,,,
6CU7316C47,10.21.10.3,255.255.255.128,10.21.10.126,172.25.10.3,255.255.255.128,172.25.10.126,A1,,,
6CU7316C4H,10.21.10.4,255.255.255.128,10.21.10.126,172.25.10.4,255.255.255.128,172.25.10.126,A1,,,
6CU7316C4V,10.21.10.5,255.255.255.128,10.21.10.126,172.25.10.5,255.255.255.128,172.25.10.126,A1,,,
6CU7316C55,10.21.10.6,255.255.255.128,10.21.10.126,172.25.10.6,255.255.255.128,172.25.10.126,A1,,,
6CU7316C5F,10.21.10.7,255.255.255.128,10.21.10.126,172.25.10.7,255.255.255.128,172.25.10.126,A1,,,
6CU7316C5T,10.21.10.8,255.255.255.128,10.21.10.126,172.25.10.8,255.255.255.128,172.25.10.126,A1,,,
6CU7316C66,10.21.10.9,255.255.255.128,10.21.10.126,172.25.10.9,255.255.255.128,172.25.10.126,A1,,,
6CU7316C6H,10.21.10.10,255.255.255.128,10.21.10.126,172.25.10.10,255.255.255.128,172.25.10.126,A1,,,
6CU7316C6V,10.21.10.11,255.255.255.128,10.21.10.126,172.25.10.11,255.255.255.128,172.25.10.126,A1,,,
6CU7316C76,10.21.10.12,255.255.255.128,10.21.10.126,172.25.10.12,255.255.255.128,172.25.10.126,A1,,,
